entry_date,exit_date,entry_price,exit_price,shares,pnl
2011-11-07,2011-11-08,40.43,40.64,47614.54,9854.86
2011-11-09,2011-11-14,40.41,41.09,47876.45,32296.85
2011-11-15,2011-12-01,40.81,41.19,48200.2,18210.0
2011-12-02,2012-01-12,41.36,38.29,48003.05,-147271.01
2012-01-13,2012-01-17,38.11,37.99,48225.77,-5933.82
2012-01-18,2012-05-24,37.41,31.39,48979.13,-294679.75
2012-05-25,2012-05-28,31.47,32.01,48859.1,26378.77
2012-05-30,2012-06-04,30.6,33.61,51100.68,153654.65
2012-06-06,2012-08-17,34.55,27.8,49713.66,-335571.45
2012-08-27,2012-09-04,28.98,29.7,47679.9,33976.52
2012-09-05,2012-09-07,29.46,30.57,48058.19,53177.08
2012-09-11,2012-09-14,30.24,31.89,48578.26,79871.1
2012-09-18,2012-09-20,31.95,32.28,48483.45,16245.89
2012-09-21,2013-01-02,32.6,27.79,48019.85,-230975.66
2013-01-04,2013-05-31,26.31,17.37,50709.06,-453199.15
2013-06-03,2013-06-04,17.73,17.41,49695.79,-16005.07
2013-06-05,2013-07-23,17.39,14.6,49741.8,-138969.69
2013-07-25,2013-08-13,14.25,15.02,50950.22,39380.74
2013-08-14,2013-08-15,14.98,15.34,51114.57,18519.4
2013-08-19,2013-08-21,16.15,16.46,48541.02,14851.82
2013-08-22,2013-08-26,16.51,17.17,48398.96,31953.42
2013-08-28,2013-10-22,16.83,15.98,49365.27,-41838.61
2013-10-24,2013-10-25,16.63,16.89,47448.18,12638.55
2013-10-30,2013-10-31,16.98,16.85,47200.1,-6476.69
2013-11-01,2013-12-18,15.32,14.79,51900.23,-27390.29
2013-12-19,2013-12-27,14.27,14.98,53814.81,38342.5
2013-12-31,2014-01-02,14.62,15.46,55125.89,46418.06
2014-01-06,2014-01-07,15.89,15.78,53664.86,-5648.54
2014-01-09,2014-01-13,15.76,15.97,53747.58,11749.58
2014-01-14,2014-01-17,15.94,16.35,53856.79,22238.87
2014-01-22,2014-01-30,16.86,17.05,52252.99,10153.56
2014-01-31,2014-02-14,17.55,18.22,50758.66,33699.18
2014-02-19,2014-02-21,18.1,18.93,51099.3,42613.62
2014-02-26,2014-06-16,18.83,15.09,51374.48,-191871.72
2014-06-17,2014-06-18,14.84,15.09,52248.1,12760.69
2014-06-23,2014-07-02,15.59,15.7,50556.52,5350.57
2014-07-04,2014-07-09,15.78,16.32,50295.66,27433.8
2014-07-11,2014-07-14,16.24,16.28,50547.75,2057.57
2014-07-15,2014-08-13,16.56,17.15,49702.82,29133.44
2014-08-14,2015-01-16,16.97,11.33,50227.51,-282928.77
2015-01-26,2015-01-28,12.29,13.18,46309.77,41363.87
2015-01-29,2015-03-02,12.6,13.43,48447.61,39887.13
2015-03-03,2015-04-07,13.19,12.83,49324.07,-17448.95
2015-04-08,2015-04-13,12.72,13.07,49770.74,17607.18
2015-04-14,2015-04-29,12.74,13.17,51055.99,21841.76
2015-05-01,2015-08-21,12.78,9.06,52600.15,-196166.72
2015-08-24,2015-10-07,8.44,7.92,56464.03,-28938.11
2015-10-08,2015-10-13,7.73,8.01,57855.95,15823.26
2015-10-14,2015-10-15,8.29,8.59,55888.85,17138.52
2015-10-16,2015-12-02,8.66,8.17,55461.01,-27251.38
2015-12-03,2015-12-07,8.31,8.9,54518.17,32169.07
2015-12-08,2015-12-29,8.72,8.78,55661.53,3238.05
2015-12-30,2016-01-07,8.54,9.66,57233.28,64212.52
2016-01-11,2016-01-26,9.93,11.05,55652.81,62439.43
2016-01-29,2016-02-01,11.09,11.7,55485.93,34123.38
2016-02-03,2016-02-04,11.5,12.47,56448.13,54418.34
2016-02-10,2016-02-12,12.67,13.59,55522.75,50757.64
2016-02-17,2016-02-19,13.5,14.3,55898.83,45062.08
2016-02-22,2016-02-23,13.91,14.86,57468.27,54446.75
2016-02-25,2016-03-01,15.12,15.73,56468.08,34308.64
2016-03-02,2016-03-11,14.95,15.56,59423.57,36104.49
2016-03-14,2016-03-16,15.52,15.48,59551.03,-2477.94
2016-03-18,2016-04-12,15.81,17.48,58297.35,97040.78
2016-04-13,2016-04-29,17.08,18.73,59661.01,98317.1
2016-05-03,2016-05-17,19.66,20.29,56832.04,35948.56
2016-05-19,2016-06-13,18.87,21.74,61118.88,175526.56
2016-06-15,2016-06-16,21.13,22.92,62878.22,112647.47
2016-06-17,2016-06-27,21.94,22.77,65696.13,54741.7
2016-06-29,2016-07-05,22.61,24.26,66156.02,108597.34
2016-07-08,2016-09-22,24.07,20.52,66659.8,-236788.88
2016-09-23,2016-11-01,20.31,20.06,67344.18,-16853.35
2016-11-03,2016-12-09,20.1,17.42,67204.45,-180620.2
2016-12-12,2016-12-30,17.04,18.44,68686.93,95815.66
2017-01-03,2017-01-06,18.01,18.8,70311.71,55795.23
2017-01-09,2017-01-24,19.13,19.67,69114.25,37525.54
2017-01-26,2017-02-01,19.24,19.83,70674.81,41915.06
2017-02-06,2017-02-07,20.88,21.13,67112.79,16817.69
2017-02-10,2017-02-17,20.62,22.37,68770.9,120059.65
2017-02-21,2017-03-28,21.93,21.87,70159.41,-4130.06
2017-03-29,2017-04-12,21.27,22.33,72118.25,76018.18
2017-04-17,2017-07-28,22.12,17.43,72800.16,-341662.23
2017-08-03,2017-08-11,18.04,18.07,70335.23,2353.16
2017-08-14,2017-08-29,17.92,18.86,70926.27,66383.42
2017-09-05,2017-09-06,19.0,18.86,70394.4,-10028.51
2017-09-07,2017-12-19,18.43,15.49,72027.03,-211338.49
2017-12-20,2017-12-21,15.49,15.45,72027.02,-3024.81
2017-12-22,2018-01-03,15.52,16.02,71715.2,36134.46
2018-01-04,2018-01-16,15.8,16.0,72744.62,14661.4
2018-01-17,2018-03-27,15.76,13.7,73829.79,-152517.33
2018-03-28,2018-04-12,13.51,13.75,74841.8,17641.45
2018-04-13,2018-04-16,13.77,13.99,74704.56,16351.1
2018-04-17,2018-04-19,13.75,14.14,76031.23,30082.73
2018-04-23,2018-04-25,14.01,14.33,76762.28,24555.86
2018-05-01,2018-06-25,14.49,14.53,75914.82,3118.34
2018-06-26,2018-07-04,14.35,15.04,76852.04,53170.63
2018-07-05,2018-09-25,14.89,12.59,77635.78,-178664.76
2018-09-27,2018-09-28,11.85,12.3,82456.84,36978.01
2018-10-01,2018-10-03,12.07,12.73,84016.98,55450.04
2018-10-04,2018-10-05,12.64,12.68,84635.57,2864.39
2018-10-09,2018-10-12,12.36,13.72,86778.99,117483.57
2018-10-15,2018-10-16,13.81,13.89,86194.07,6563.45
2018-10-17,2018-10-18,13.79,13.99,86775.74,16887.57
2018-10-23,2018-10-24,15.06,14.76,80584.46,-24546.38
2018-10-25,2018-11-02,14.26,14.76,83406.12,41637.93
2018-11-05,2018-11-22,14.55,15.1,84569.9,45796.72
2018-11-26,2018-12-10,14.72,15.49,86708.4,66194.54
2018-12-12,2018-12-13,15.44,15.86,86994.25,36889.68
2018-12-17,2019-02-01,15.5,14.9,88993.0,-53617.94
2019-02-04,2019-02-08,14.62,15.14,90705.39,47165.86
2019-02-12,2019-02-21,15.34,15.28,89545.72,-5343.34
